LeftFrontalHipJoint,LeftTransverseHipJoint,LeftSagittalHipJoint,LeftSagittalKneeJoint,LeftSagittalAnkleJoint,LeftHenkeAnkleJoint,RightFrontalHipJoint,RightTransverseHipJoint,RightSagittalHipJoint,RightSagittalKneeJoint,RightSagittalAnkleJoint,RightHenkeAnkleJoint,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r_translation2,knee_angle_r_translation1,knee_angle_r,knee_angle_r_rotation2,knee_angle_r_rotation3,ankle_angle_r,subtalar_angle_r,mtp_angle_r,knee_angle_r_beta_translation2,knee_angle_r_beta_translation1,knee_angle_r_beta_rotation1,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l_translation2,knee_angle_l_translation1,knee_angle_l,knee_angle_l_rotation2,knee_angle_l_rotation3,ankle_angle_l,subtalar_angle_l,mtp_angle_l,knee_angle_l_beta_translation2,knee_angle_l_beta_translation1,knee_angle_l_beta_rotation1
-4.485458268267260573e-01,-2.647424580244126080e+00,2.483424250212633577e-01,-2.180268725375648919e-01,2.342490731388620517e+00,3.627423857814319752e-01,2.765458916174995396e-01,8.828707716155953511e-01,2.312430397246701685e-01,-7.486676926900225071e-02,2.146582089803063198e+00,7.529967658130065633e-01,9.675515762516766483e-01,-7.403069511926955171e-01,1.449097978490260785e-01,1.101224661970611612e-03,3.151914825620970913e-03,-5.432221260236939214e-02,-4.335998946407002008e-03,-2.000164339353947135e-02,-3.945967260186673986e+00,2.699844662957198604e+00,-2.567995365589885101e-02,-1.691701332520734735e-01,8.324701911985895597e-01,1.653421724584051566e-01,2.070259710640435902e+00,-1.475687137069135124e+00,1.391457560778708580e-01,-1.127088116483468579e-02,1.298626536335408498e-02,1.320950957533894243e+00,1.046670033579826381e-01,-4.866017339829201149e-01,-5.191623320957430288e+00,5.467300099374304168e+00,-4.308312642160402883e-02,-2.361752383529465982e-01,8.115509644081182472e-01,1.899783699597857034e-01
-4.819282401144245331e-01,-2.820697953668373614e+00,2.465631088537239557e-01,-2.086774036077891081e-01,2.468348867982732564e+00,4.196933670815116701e-01,2.933568610638908614e-01,9.334065450054728208e-01,2.374135048090899869e-01,-7.066262572922142604e-02,2.198519032252487460e+00,7.574276172569561760e-01,1.018852416721963916e+00,-7.777065960807095779e-01,1.532371515542790552e-01,1.231772694475714467e-03,3.259805753867195833e-03,-3.269258112448036879e-02,-2.618270315675043196e-03,-1.200595522590797853e-02,-4.068240286403192130e+00,2.798478794681715787e+00,-2.496686054900267709e-02,-1.767013050977441491e-01,8.635053126607866725e-01,1.722048163687547317e-01,2.212775941505505717e+00,-1.570447777996058170e+00,1.523766968891922813e-01,-1.214084200573701741e-02,1.366897635790786068e-02,1.461399019165220192e+00,1.156961051419520964e-01,-5.380219848249372383e-01,-5.404697743701243340e+00,5.748927854025767559e+00,-4.291868083606103362e-02,-2.494785652339396309e-01,8.407061850583749107e-01,1.961230402919791338e-01
-5.216039241385881375e-01,-2.983470374124474578e+00,2.476137584062471919e-01,-1.981884488017885693e-01,2.754793409574362251e+00,4.183187684023009778e-01,3.096318257764479331e-01,9.794652304239628293e-01,2.428241690636000205e-01,-6.634360398571380324e-02,2.242956406977580919e+00,7.607216583714373481e-01,1.067168170578567388e+00,-8.125733629649991574e-01,1.619467493136967917e-01,1.368169544627123374e-03,3.346348500831125127e-03,-8.045881337116471410e-03,-6.626956916961191475e-04,-2.893529844520695716e-03,-4.168907958335009489e+00,2.884318736020578200e+00,-2.406567177667725752e-02,-1.833394297261055628e-01,8.894586657993989176e-01,1.781439577915519545e-01,2.344711467600574917e+00,-1.676200369352186526e+00,1.790882489711798919e-01,-1.241809228653423074e-02,1.393898774754319739e-02,1.508525514765125974e+00,1.193510615690403648e-01,-5.551023734582098967e-01,-5.767460889927994216e+00,6.080379318726476967e+00,-4.355248507619978449e-02,-2.571963610937443301e-01,8.662519358018728743e-01,1.999341507857132216e-01
-5.750692795560629067e-01,-3.137933509694534884e+00,2.544152515405728732e-01,-1.861316642765361018e-01,3.788217647523772325e+00,3.056257711736576343e-01,3.257197421050536668e-01,1.021137618677929293e+00,2.477853222749792916e-01,-6.195504314609633079e-02,2.284677295520584295e+00,7.660890344202097024e-01,1.112439233850473164e+00,-8.458029695373485701e-01,1.716387560771641396e-01,1.490013896354178916e-03,3.401958448574813644e-03,1.600599905631143807e-02,1.244092139174255264e-03,6.000208488531365465e-03,-4.255839973810281229e+00,2.961605418519774435e+00,-2.305519626019258625e-02,-1.889943124029354882e-01,9.108008977209552937e-01,1.831423634006412449e-01,2.455320946994504094e+00,-1.806045360033420755e+00,2.193986965759181784e-01,-1.074045309659265972e-02,1.273554795884257983e-02,1.241604845766510978e+00,9.832206049199795905e-02,-4.570864856441428370e-01,-6.690485445648497453e+00,6.532503657119496765e+00,-4.725372105917687721e-02,-2.487056982924881754e-01,8.920787616182821456e-01,2.021583677520804867e-01
-5.617617756408488372e-01,-3.406558699038198856e+00,2.343067317124241100e-01,-1.858358145322895894e-01,6.148457726198521378e+00,8.829168358046990406e-01,3.422398746809762748e-01,1.058134338451282019e+00,2.527266920133491857e-01,-5.741991892330541164e-02,2.331707474550871240e+00,7.793921660177430821e-01,1.154288767360990287e+00,-8.788592852315829651e-01,1.835715358495596528e-01,1.560492285966475238e-03,3.405239579843189097e-03,3.326118138060445845e-02,2.609742335399708839e-03,1.238245486430371300e-02,-4.341055496495198618e+00,3.037208238390511461e+00,-2.203574300763287697e-02,-1.934434454891584554e-01,9.280126984480968622e-01,1.871053087809217974e-01,2.605634530462638931e+00,-1.778432668317401433e+00,-3.847024206476998276e-02,-8.071074034115600232e-03,1.069741221294455945e-02,7.989013246218948927e-01,6.373328794906747696e-02,-2.946215940093554475e-01,-8.053585168305492203e+00,6.264606195002122568e+00,-5.114300941146013302e-02,-2.308241558890469503e-01,9.164486267065032887e-01,2.044539846968583818e-01
-4.342921178183610231e-01,-3.816669304058287082e+00,1.857589050144698162e-01,-1.982662615012164842e-01,8.043680963232514358e+00,2.618503909675459873e+00,3.605395262484447083e-01,1.088715936051554367e+00,2.584419086207338512e-01,-5.247251119357469046e-02,2.401276887217555167e+00,8.142613326654420947e-01,1.192419519900873359e+00,-9.146892935817139136e-01,2.009236221604132067e-01,1.520618640388325758e-03,3.311234042793298991e-03,3.427074694638410080e-02,2.682777939028197552e-03,1.276126514767589315e-02,-4.443668240625252785e+00,3.124637187801885041e+00,-2.115831998058602739e-02,-1.963006002091764735e-01,9.415964744039845291e-01,1.898453263808193014e-01,2.848559474335188746e+00,-1.495811719676690021e+00,-7.050830471849275360e-01,-8.457812142280696222e-03,1.145663413339921728e-02,8.182492074035567775e-01,6.564800260833532353e-02,-3.009791654744903289e-01,-8.715155921351778190e+00,4.810882194793719258e+00,-4.825716738585306143e-02,-2.345525733922010914e-01,9.296750627259308120e-01,2.046486823393398602e-01
-2.758212174703018049e-01,-4.242593137421978078e+00,1.327220968968019221e-01,-2.107682404280630806e-01,9.266017082917134218e+00,4.756303814451639411e+00,3.844031972064078650e-01,1.102313698747612536e+00,2.670101595385720450e-01,-4.582276095598684929e-02,2.545826206696747640e+00,9.161749229132472028e-01,1.234911901290550285e+00,-9.606909873423372659e-01,2.344327738552499374e-01,1.411545508683398949e-03,3.057031821008090924e-03,2.857423072687423696e-02,2.205398399974206440e-03,1.067220635926099254e-02,-4.575435495589689872e+00,3.254718630380900368e+00,-2.065804195981226637e-02,-1.981009380904767692e-01,9.517454273778570562e-01,1.916937552586358284e-01,3.120116079474823945e+00,-1.140755429181157687e+00,-1.480093291282842394e+00,-1.058191388898937352e-02,1.396151548923710468e-02,1.109121101177525492e+00,8.885253116322811007e-02,-4.065073488234895449e-01,-8.888544493976388239e+00,3.042697758044248246e+00,-4.226445057398599270e-02,-2.507305763184051739e-01,9.350640387520251506e-01,2.022013729980563224e-01
-1.167884501169839939e-01,-4.644375100686874092e+00,7.562895997746234278e-02,-2.205928661085162779e-01,1.012392463916067342e+01,7.024508888572184695e+00,4.216865758410923148e-01,1.088762235019836266e+00,2.702847871883248265e-01,-1.393371607702001240e-02,2.837700415215988148e+00,1.156127795691195059e+00,1.288257023580313243e+00,-1.033714303837753867e+00,3.043452613204837842e-01,1.216177630380070552e-03,2.536582441366590744e-03,1.575184617099030515e-02,1.127519736760345444e-03,5.972861351418192605e-03,-4.765374787058903827e+00,3.502417258316024018e+00,-2.095430688369626093e-02,-1.988887466827373440e-01,9.587781112296805963e-01,1.927028637426221602e-01,3.391684261901848352e+00,-7.791003287311194514e-01,-2.269025197800180749e+00,-1.349189953331456256e-02,1.729358168342952709e-02,1.529908550886446061e+00,1.221518436371634014e-01,-5.593596824840404436e-01,-8.781285448429031248e+00,1.273508578231709043e+00,-3.517585742241170765e-02,-2.725400927450788990e-01,9.351377274102602444e-01,1.968423252129740120e-01
3.385628373819497827e-02,-5.010337482549475752e+00,1.161543459824737265e-02,-2.271605893789202524e-01,1.077654053800879907e+01,9.343672349693953549e+00,4.816537548265404922e-01,1.058894619471692389e+00,2.711074397597142971e-01,2.211379786985165699e-02,3.450533908182715770e+00,1.586705905158826591e+00,1.358985810213171996e+00,-1.157552471067584632e+00,4.306537923410032609e-01,9.603029145198598059e-04,1.723155515294073773e-03,-2.427801794955801538e-03,-4.140845177316211938e-04,-6.757438605934654391e-04,-5.040603141178682023e+00,3.975519972034305738e+00,-2.249396531298531246e-02,-1.988101319074804529e-01,9.629582974820576347e-01,1.929795730022268452e-01,3.651154719377479374e+00,-4.308135184198058076e-01,-3.050284660025811778e+00,-1.681753626516365244e-02,2.108991068273630837e-02,2.025534395241043839e+00,1.611871128352763971e-01,-7.392660324147993789e-01,-8.469974648330289568e+00,-4.055840849260879954e-01,-2.765042182807472132e-02,-2.973578764383520978e-01,9.310274399594202777e-01,1.877911874698905137e-01
1.718490936243554090e-01,-5.334036681873765673e+00,-6.166111916161610279e-02,-2.299713434519728705e-01,1.130995366867689178e+01,1.167347987004828269e+01,5.396235159043448748e-01,1.022668181858681358e+00,2.692581164813970251e-01,2.579730329775830472e-02,4.537286787043553815e+00,2.005972306515008796e+00,1.428875176948661840e+00,-1.271312963230574855e+00,5.460477506263446967e-01,6.399213029137841178e-04,4.614921595898328096e-04,-2.062775930233439955e-02,-1.936101149197926551e-03,-7.348862556299433878e-03,-5.302976538207991197e+00,4.390232713563889888e+00,-2.365378440330360987e-02,-1.981806080741891074e-01,9.644765753309688661e-01,1.927228783091263498e-01,3.889200671369203555e+00,-1.060857050870856189e-01,-3.816676909532141782e+00,-2.032334993714145915e-02,2.514479092702987320e-02,2.560531298882801732e+00,2.031446655472574081e-01,-9.331029996722964848e-01,-7.998484682247403832e+00,-1.950725005757841579e+00,-2.000427374667768099e-02,-3.235077581307020944e-01,9.235316630457098830e-01,1.740744388697717804e-01
