LeftFrontalHipJoint,LeftTransverseHipJoint,LeftSagittalHipJoint,LeftSagittalKneeJoint,LeftSagittalAnkleJoint,LeftHenkeAnkleJoint,RightFrontalHipJoint,RightTransverseHipJoint,RightSagittalHipJoint,RightSagittalKneeJoint,RightSagittalAnkleJoint,RightHenkeAnkleJoint,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r_translation2,knee_angle_r_translation1,knee_angle_r,knee_angle_r_rotation2,knee_angle_r_rotation3,ankle_angle_r,subtalar_angle_r,mtp_angle_r,knee_angle_r_beta_translation2,knee_angle_r_beta_translation1,knee_angle_r_beta_rotation1,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l_translation2,knee_angle_l_translation1,knee_angle_l,knee_angle_l_rotation2,knee_angle_l_rotation3,ankle_angle_l,subtalar_angle_l,mtp_angle_l,knee_angle_l_beta_translation2,knee_angle_l_beta_translation1,knee_angle_l_beta_rotation1
-2.721541038107316846e-03,-1.604672422719616645e-02,2.279924624662001825e-03,-2.664971830887568737e-03,1.739486124696184785e-02,6.492489225224994196e-04,1.714770982812746560e-03,5.483914972615808528e-03,1.701431102655735685e-03,-8.871072727806210510e-04,1.537898696700914711e-02,5.729412135849233471e-03,6.113206337622778194e-03,-4.750740878666686109e-03,9.257198653139366929e-04,4.822353279610518706e-06,2.116465902052707302e-05,-1.017207165148189619e-03,-8.098369692440832710e-05,-3.751559914380860430e-04,-2.716172658744153701e-02,1.822177925730623232e-02,-2.171074497085112001e-04,-1.095440666736301411e-03,5.557168214059521327e-03,1.085333368474750452e-03,1.234316278144425780e-02,-9.194272737300966669e-03,8.531660322451846412e-04,-5.929942047303516305e-05,8.075181080961515393e-05,5.691908768559486749e-03,4.524514543484075115e-04,-2.098984305146964907e-03,-3.652570075570812924e-02,3.585418067542272408e-02,-3.519865424772117930e-04,-1.422408613706260729e-03,5.455765960133486178e-03,1.232290372000909929e-03
-3.186539382333132987e-03,-1.878148835828817587e-02,2.527320988820225354e-03,-2.878375342290675262e-03,1.979449404979198579e-02,1.042841137321292222e-03,1.999777789783475489e-03,6.392436084632531490e-03,1.935834494269858324e-03,-9.598871568310929055e-04,1.755231710287591049e-02,6.484815391302559476e-03,7.106659333688799228e-03,-5.509988217733120114e-03,1.074777362375450461e-03,5.987764683518567524e-06,2.437208211941553236e-05,-1.061077425793750632e-03,-8.448949295144451282e-05,-3.912940533905618669e-04,-3.117089697813539562e-02,2.097214839472272274e-02,-2.424495523328986247e-04,-1.268449175416677113e-03,6.405599543775074116e-03,1.254184435749923759e-03,1.448528595254869496e-02,-1.071702313857070786e-02,9.983930342115419996e-04,-7.102928417319934954e-05,9.409621572996067110e-05,7.086718772644874827e-03,5.629217631559925829e-04,-2.612640433875522590e-03,-4.181891970541813663e-02,4.146106748164096051e-02,-3.949679227290583917e-04,-1.665503445429989803e-03,6.282278457415230340e-03,1.425533006128323205e-03
-3.687353608576410605e-03,-2.168470969872230217e-02,2.773932604843735213e-03,-3.081966165610349005e-03,2.237956615905050892e-02,1.470386819603211647e-03,2.301304583560954010e-03,7.349238115939240971e-03,2.176004397342634969e-03,-1.028395832856182981e-03,1.977350748430517502e-02,7.243873524076335779e-03,8.149918206740639284e-03,-6.305306831439992481e-03,1.232318012775616978e-03,7.287954776413570397e-06,2.767723774054209939e-05,-1.081570435145702254e-03,-8.613966824808666381e-05,-3.987896637250261996e-04,-3.529098028009860361e-02,2.381445911184645881e-02,-2.669783853996960071e-04,-1.448546566657982898e-03,7.282485552631945414e-03,1.429435814150012982e-03,1.676536076360602562e-02,-1.233855405944041771e-02,1.162154854494968368e-03,-8.339875517634181949e-05,1.079640333432376473e-04,8.586040436687437591e-03,6.815772010907919639e-04,-3.164474251406572663e-03,-4.738056356441754796e-02,4.736723460803897445e-02,-4.380629737064841702e-04,-1.919622636856638774e-03,7.135937588237471069e-03,1.623749653448813574e-03
-4.235458269015677027e-03,-2.474386998380413011e-02,3.025086056311617009e-03,-3.274001696778439975e-03,2.553740726374783415e-02,1.831217384184789668e-03,2.618975585473318646e-03,8.349909439616132537e-03,2.421331402656460782e-03,-1.092553043230966780e-03,2.203728136613349736e-02,8.006914760039019960e-03,9.239985046215870579e-03,-7.134581847590797977e-03,1.398989854950010749e-03,8.719480204036432464e-06,3.105463628548241000e-05,-1.077331997796605705e-03,-8.582832934107675470e-05,-3.971408998856598401e-04,-3.950407662210768389e-02,2.673790060304558416e-02,-2.905441615012797451e-04,-1.634802188096678727e-03,8.182980127602237225e-03,1.610159920711366635e-03,1.916680868602023066e-02,-1.408000720597611319e-02,1.365586041244852599e-03,-9.520808116217274047e-05,1.214850017148082743e-04,9.998284669001858763e-03,7.933284175391042484e-04,-3.684183625031001944e-03,-5.354004642542659759e-02,5.367384261726389216e-02,-4.831222422273647398e-04,-2.174453158690755217e-03,8.014888425789489998e-03,1.824833448636781034e-03
-4.815052564355630157e-03,-2.800021777470495035e-02,3.273169049247709461e-03,-3.458377932432244589e-03,3.046315080153568985e-02,2.313990983444304868e-03,2.952879295033486624e-03,9.389966959760775653e-03,2.671564245727094892e-03,-1.152258852658122031e-03,2.434452502180844968e-02,8.778609804726590637e-03,1.037366613800520983e-02,-7.996836203597096002e-03,1.576320662940868629e-03,1.025136690655577371e-05,3.446408875574178408e-05,-1.051744614970400848e-03,-8.382555526348790375e-05,-3.875970743560001397e-04,-4.380195796436981565e-02,2.973701994043446983e-02,-3.130849627206016292e-04,-1.826137307935131633e-03,9.102710120887468406e-03,1.795377693308702026e-03,2.168891945922568967e-02,-1.589747087226677999e-02,1.498641650492764030e-03,-1.044488942596700311e-04,1.330620310350245201e-04,1.099463745727857419e-02,8.724495058066997688e-04,-4.051309396005034653e-03,-6.093964296756892995e-02,6.018978744928583924e-02,-5.327899442413481807e-04,-2.413128854420253360e-03,8.919863916184987349e-03,2.028200087551495969e-03
-5.318480853293841397e-03,-3.160662031547610551e-02,3.484076591188609365e-03,-3.650089087776084169e-03,3.762933981760768071e-02,4.005792644138183103e-03,3.304007776067290590e-03,1.046423767938602090e-02,2.927011586758062039e-03,-1.207281805680701561e-03,2.670752917858146627e-02,9.572261271466458998e-03,1.154707056066586572e-02,-8.893156148604100530e-03,1.767803809252397381e-03,1.180012323768684908e-05,3.783243551820298972e-05,-1.016866966157203454e-03,-8.109034025727760570e-05,-3.746146972010447828e-04,-4.819236424072365771e-02,3.281602740711812849e-02,-3.346618734882344202e-04,-2.021127237027871889e-03,1.003780651042574662e-02,1.983945346054908666e-03,2.441125796515991250e-02,-1.754671874841660234e-02,1.145389547623185643e-03,-1.124946344875342192e-04,1.439273069210256152e-04,1.176954313248052691e-02,9.344919906266903461e-04,-4.336807962121587944e-03,-6.938052749526500695e-02,6.578284946679123502e-02,-5.829148989400605423e-04,-2.644246810572333482e-03,9.843765817946988766e-03,2.232978037116576352e-03
-5.674304426685394288e-03,-3.563733900935361215e-02,3.643555488232748645e-03,-3.854782262694989633e-03,4.632490972657666434e-02,7.675989204613795774e-03,3.675758204152392798e-03,1.156176259161964016e-02,3.189409555582308278e-03,-1.256631954417306062e-03,2.917154785021906782e-02,1.042906828023849354e-02,1.276011173424449786e-02,-9.829483359752215835e-03,1.983413432600604921e-03,1.327282974369803837e-05,4.103533892189137512e-05,-9.849117874989609962e-04,-7.860168352525184938e-05,-3.627025002880917811e-04,-5.269846090294863505e-02,3.599989973303472507e-02,-3.555240613190750005e-04,-2.218412067549949043e-03,1.098475092801918553e-02,2.174785775323811055e-03,2.739483186907263126e-02,-1.886711224873346623e-02,5.601883403744317214e-05,-1.219234944560190211e-04,1.565418350581403975e-04,1.271861445002144680e-02,1.010601736556378683e-03,-4.685218863863378942e-03,-7.821126336356917785e-02,6.971706050393949861e-02,-6.283171243198020471e-04,-2.886237518356061463e-03,1.077664996720750952e-02,2.436627339266182659e-03
-5.870165731338193235e-03,-4.008346155573349473e-02,3.748190753537304371e-03,-4.070716776526224663e-03,5.604206685763326451e-02,1.355988480755718553e-02,4.077213907195784311e-03,1.265914351373849736e-02,3.458884712099242597e-03,-1.289264830699311457e-03,3.184647978436713073e-02,1.145097758334250038e-02,1.402038256006384737e-02,-1.082323773776275311e-02,2.248741287775703722e-03,1.459251821467635565e-05,4.385345525721349395e-05,-9.622018006466328535e-04,-7.688855123691029777e-05,-3.541802226101140993e-04,-5.736225057239130454e-02,3.936319440569974182e-02,-3.762363205614182920e-04,-2.416986476486103919e-03,1.194026086185853534e-02,2.367050264875636498e-03,3.065132133712910809e-02,-1.982650937081318135e-02,-1.818652848469757373e-03,-1.339139441173045348e-04,1.721194409705654657e-04,1.403012938480927008e-02,1.115486224578638840e-03,-5.165247178306080385e-03,-8.706550718090245999e-02,7.187024733025178247e-02,-6.670923682085364579e-04,-3.147538632543884097e-03,1.171213808529471788e-02,2.636420381542951743e-03
-5.910731749325871982e-03,-4.491409178296281585e-02,3.792496476826408888e-03,-4.294884446885598520e-03,6.650520306252283298e-02,2.174158596041355501e-02,4.527074116733248790e-03,1.373429026555703959e-02,3.729536436410936778e-03,-1.283672701132727422e-03,3.495309354684798114e-02,1.280712940496304617e-02,1.534284810187810585e-02,-1.191489902179322657e-02,2.611811386756284891e-03,1.568676211236401589e-05,4.601731552714671114e-05,-9.551893056616927394e-04,-7.650139562904027563e-05,-3.514043269094315847e-04,-6.225956213129558298e-02,4.308473577111695402e-02,-3.978762950711093888e-04,-2.615901097394123485e-03,1.290135682885340182e-02,2.559947635712267466e-03,3.417414236226319624e-02,-2.042987885537523793e-02,-4.479300347318509318e-03,-1.490445636860180604e-04,1.912819967704364134e-04,1.580319705353585083e-02,1.256803231466488901e-03,-5.812890739530313100e-03,-9.570609428010615205e-02,7.229465283176769730e-02,-6.985262895568435495e-04,-3.432311838669144070e-03,1.264553429554255218e-02,2.829085577492564466e-03
-5.806681563092122578e-03,-5.009004535939703268e-02,3.768322319625723622e-03,-4.523789470707252104e-03,7.755577855276112043e-02,3.225079404890302676e-02,5.040982901324861376e-03,1.477391511866282467e-02,4.000830713626540164e-03,-1.257660280309126676e-03,3.891745846416853200e-02,1.463094278997056213e-02,1.673827182693384333e-02,-1.313758808056390143e-02,3.109546892605990348e-03,1.648862311032945957e-05,4.713680455919510898e-05,-9.672233530942035262e-04,-7.772524434796688727e-05,-3.555966419273341120e-04,-6.744096725947171245e-02,4.730682814526366436e-02,-4.211422122552261455e-04,-2.814415470369853543e-03,1.386529308338177099e-02,2.752827377075100536e-03,3.794649906696756503e-02,-2.069600934702758160e-02,-7.914258688763740890e-03,-1.676090698908700425e-04,2.143852201652543153e-04,1.809432603714637364e-02,1.438834837207260062e-03,-6.648424127569959804e-03,-1.039520697960670398e-01,7.110383190487677696e-02,-7.223534886107447605e-04,-3.742698728457212985e-03,1.357306491808230042e-02,3.010446056720373579e-03
